system:index,NDVI_count,NDVI_mean
LT05_033037_19950112,3563,0.11024511
LT05_033037_19950128,2007,0.074181797
LT05_033037_19950213,3563,0.121321375
LT05_033037_19950317,3563,0.152426901
LT05_033037_19950402,3563,0.167609481
LT05_033037_19950418,3563,0.151189313
LT05_033037_19950504,3563,0.140853221
LT05_033037_19950520,3563,0.136843972
LT05_033037_19950605,3563,0.142986084
LT05_033037_19950621,3563,0.146215006
LT05_033037_19950707,3563,0.145970931
LT05_033037_19950723,3563,0.139471006
LT05_033037_19950808,3563,0.147151111
LT05_033037_19950824,3563,0.168971652
LT05_033037_19950909,3563,0.143876899
LT05_033037_19950925,3563,0.203320705
LT05_033037_19951011,3563,0.197968291
LT05_033037_19951214,3563,0.143928481
LT05_033037_19951230,0,
LT05_033037_19960303,2315,0.117795727
LT05_033037_19960319,3563,0.132483981
LT05_033037_19960506,3563,0.145281654
LT05_033037_19960522,3563,0.138705468
LT05_033037_19960607,3563,0.139122891
LT05_033037_19960623,3563,0.146358646
LT05_033037_19960709,3563,0.161708133
LT05_033037_19960725,3563,0.172498572
LT05_033037_19960810,2309,0.145940157
LT05_033037_19960927,3563,0.252316043
LT05_033037_19961013,737,0.151548385
LT05_033037_19961114,0,
LT05_033037_19961130,3563,0.155177547
LT05_033037_19961216,3563,0.122273796
LT05_033037_19970101,2878,0.103197733
LT05_033037_19970117,3563,0.145074231
LT05_033037_19970218,164,0.058465014
LT05_033037_19970306,3563,0.131858222
LT05_033037_19970322,3563,0.124067008
LT05_033037_19970407,3563,0.143430853
LT05_033037_19970423,0,
LT05_033037_19970509,3325,0.128121892
LT05_033037_19970525,3308,0.151522767
LT05_033037_19970610,3563,0.157135144
LT05_033037_19970626,3173,0.172340199
LT05_033037_19970712,3563,0.145414406
LT05_033037_19970728,0,
LT05_033037_19970813,3464,0.195303819
LT05_033037_19970829,0,
LT05_033037_19970914,3563,0.220035401
LT05_033037_19970930,3563,0.22090923
LT05_033037_19971016,3563,0.17576392
LT05_033037_19971117,3563,0.130656908
LT05_033037_19971203,0,
LT05_033037_19971219,3563,0.11253196
LT05_033037_19980104,0,
LT05_033037_19980309,3563,0.105699645
LT05_033037_19980325,3563,0.114702622
LT05_033037_19980410,3563,0.121300757
LT05_033037_19980426,292,0.089719537
LT05_033037_19980512,3563,0.151967265
LT05_033037_19980528,3563,0.137893979
LT05_033037_19980613,3563,0.139475624
LT05_033037_19980629,3563,0.136149058
LT05_033037_19980715,3563,0.132312979
LT05_033037_19980731,3141,0.141142252
LT05_033037_19980816,3563,0.201267828
LT05_033037_19980901,2230,0.151012998
LT05_033037_19980917,3563,0.155106304
LT05_033037_19981003,3563,0.145211667
LT05_033037_19981104,3563,0.137122909
LT05_033037_19981120,0,
LT05_033037_19981206,3563,0.115141789
LT05_033037_19981222,3563,0.110012848
LT05_033037_19990107,3064,0.114393052
LT05_033037_19990123,3563,0.116689304
LT05_033037_19990208,3563,0.116191507
LT05_033037_19990224,3563,0.115401833
LT05_033037_19990312,3563,0.118577895
LT05_033037_19990328,3563,0.11916727
LT05_033037_19990429,3563,0.115683987
LT05_033037_19990515,3563,0.119552556
LT05_033037_19990531,0,
LT05_033037_19990616,3563,0.124984906
LT05_033037_19990702,0,
LT05_033037_19990718,3563,0.168424545
LT05_033037_19990819,2458,0.238176001
LT05_033037_19990920,3563,0.243848456
LT05_033037_19991006,3563,0.17856906
LT05_033037_19991022,3563,0.158680688
LT05_033037_19991107,3424,0.135179241
LT05_033037_19991123,3563,0.138923529
LT05_033037_20000110,3563,0.121490634
LT05_033037_20000227,3563,0.116130843
LT05_033037_20000330,3563,0.112946533
LT05_033037_20000415,3563,0.109264089
LT05_033037_20000501,3563,0.115711822
LT05_033037_20000517,3563,0.120003169
LT05_033037_20000602,3563,0.121454365
LT05_033037_20000618,2186,0.132850561
LT05_033037_20000704,3563,0.210603007
LT05_033037_20000720,3563,0.247614709
LT05_033037_20000805,463,0.150698358
LT05_033037_20000821,3563,0.182214001
LT05_033037_20000906,3563,0.164534341
LT05_033037_20001024,3563,0.169363733
LT05_033037_20001125,3563,0.110911913
LT05_033037_20001211,3563,0.109854642
LT05_033037_20001227,3563,0.121731618
LT05_033037_20010112,3563,0.112093921
LT05_033037_20010213,0,
LT05_033037_20010301,0,
LT05_033037_20010317,404,0.099297871
LT05_033037_20010402,3563,0.153170381
LT05_033037_20010418,3563,0.145693338
LT05_033037_20010504,3563,0.146685753
LT05_033037_20010520,3563,0.141694715
LT05_033037_20010605,3563,0.139004117
LT05_033037_20010621,3563,0.137206992
LT05_033037_20010707,3563,0.13915911
LT05_033037_20010723,872,0.112553991
LT05_033037_20010824,3563,0.133594305
LT05_033037_20010909,3563,0.134095265
LT05_033037_20010925,3563,0.168222379
LT05_033037_20011011,3563,0.174037718
LT05_033037_20011027,3563,0.161810704
LT05_033037_20011112,3563,0.156740343
LT05_033037_20011128,3563,0.111398415
LT05_033037_20011214,3563,0.162310596
LT05_033037_20011230,3563,0.133771709
LT05_033037_20020115,32,0.089193512
LT05_033037_20020131,3563,0.126567422
LT05_033037_20020216,3563,0.11553964
LT05_033037_20020507,3563,0.124750782
LT05_033037_20020523,3563,0.120938305
LT05_033037_20020608,3563,0.12081344
LT05_033037_20020624,3563,0.11110036
LT05_033037_20020710,1951,0.122396935
LT05_033037_20020726,3350,0.138593022
LT05_033037_20020811,3563,0.139562279
LT05_033037_20020827,3563,0.120855176
LT05_033037_20020912,3563,0.130915544
LT05_033037_20020928,3275,0.094229089
LT05_033037_20021014,3563,0.117807379
LT05_033037_20021030,3563,0.106378884
LT05_033037_20021115,3563,0.100731424
LT05_033037_20021201,3563,0.117462296
LT05_033037_20021217,3563,0.094980007
LT05_033037_20030102,3563,0.090802434
LT05_033037_20030118,3563,0.088357731
LT05_033037_20030203,3563,0.093759249
LT05_033037_20030219,3563,0.095100952
LT05_033037_20030307,3563,0.094820803
LT05_033037_20030323,3563,0.113350337
LT05_033037_20030408,3563,0.114324648
LT05_033037_20030424,3563,0.118276401
LT05_033037_20030510,3563,0.119932907
LT05_033037_20030526,0,
LT05_033037_20030611,3563,0.121743111
LT05_033037_20030627,3563,0.118767163
LT05_033037_20030713,3563,0.119140381
LT05_033037_20030729,3561,0.117608969
LT05_033037_20030814,3563,0.119971066
LT05_033037_20030830,3563,0.123322806
LT05_033037_20030915,3563,0.108849437
LT05_033037_20031001,3563,0.109884228
LT05_033037_20031017,3563,0.111488474
LT05_033037_20031102,3563,0.109548215
LT05_033037_20031118,3563,0.096025087
LT05_033037_20031204,3563,0.095324672
LT05_033037_20031220,3563,0.096478594
LT05_033037_20040105,3563,0.100170144
LT05_033037_20040121,8,0.04977146
LT05_033037_20040206,3563,0.089609598
LT05_033037_20040222,3563,0.093784868
LT05_033037_20040309,3563,0.087397548
LT05_033037_20040325,461,0.057479647
LT05_033037_20040410,88,0.060429214
LT05_033037_20040426,3563,0.104686085
LT05_033037_20040512,3563,0.117546211
LT05_033037_20040528,3563,0.123209053
LT05_033037_20040613,3563,0.122841514
LT05_033037_20040629,19,0.098099306
LT05_033037_20040715,3563,0.123611648
LT05_033037_20040731,3563,0.126405793
LT05_033037_20040901,3563,0.168034654
LT05_033037_20040917,3563,0.152031248
LT05_033037_20041003,0,
LT05_033037_20041104,3563,0.129265869
LT05_033037_20041120,3563,0.125018189
LT05_033037_20041206,3477,0.121319677
LT05_033037_20041222,3563,0.115292036
LT05_033037_20050107,0,
LT05_033037_20050123,3563,0.113693446
LT05_033037_20050208,3067,0.101167605
LT05_033037_20050312,3563,0.148130696
LT05_033037_20050328,0,
LT05_033037_20050413,3543,0.151821502
LT05_033037_20050429,3563,0.169396446
LT05_033037_20050515,3563,0.17036078
LT05_033037_20050531,3563,0.170523257
LT05_033037_20050616,3563,0.167605882
LT05_033037_20050702,3563,0.168904281
LT05_033037_20050718,3563,0.154348686
LT05_033037_20050803,3563,0.158733513
LT05_033037_20050819,0,
LT05_033037_20050904,0,
LT05_033037_20050920,3563,0.169698883
