system:index,NDVI_count,NDVI_mean
LT05_033037_19950112,3564,0.107500033
LT05_033037_19950128,1199,0.076248496
LT05_033037_19950213,3294,0.105616303
LT05_033037_19950317,3564,0.14680276
LT05_033037_19950402,3564,0.169679813
LT05_033037_19950418,3564,0.156864953
LT05_033037_19950504,3564,0.143857122
LT05_033037_19950520,3538,0.133507542
LT05_033037_19950605,3564,0.142031359
LT05_033037_19950621,3564,0.145840629
LT05_033037_19950707,3564,0.14515961
LT05_033037_19950723,3564,0.139898795
LT05_033037_19950808,3564,0.151559008
LT05_033037_19950824,3564,0.193390979
LT05_033037_19950909,3564,0.169683683
LT05_033037_19950925,3564,0.229460559
LT05_033037_19951011,3564,0.213421066
LT05_033037_19951214,3564,0.156722216
LT05_033037_19951230,0,
LT05_033037_19960303,3564,0.128662603
LT05_033037_19960319,3564,0.136590135
LT05_033037_19960506,3564,0.146492202
LT05_033037_19960522,3564,0.139311849
LT05_033037_19960607,3564,0.140663992
LT05_033037_19960623,3564,0.148921806
LT05_033037_19960709,3564,0.14804235
LT05_033037_19960725,3564,0.158487109
LT05_033037_19960810,3528,0.142644249
LT05_033037_19960927,3564,0.194954838
LT05_033037_19961013,2261,0.128066786
LT05_033037_19961114,0,
LT05_033037_19961130,3564,0.154073016
LT05_033037_19961216,3564,0.113061547
LT05_033037_19970101,3564,0.114238552
LT05_033037_19970117,3564,0.138746314
LT05_033037_19970218,35,0.037340622
LT05_033037_19970306,3564,0.126294574
LT05_033037_19970322,3564,0.11939619
LT05_033037_19970407,3564,0.140588778
LT05_033037_19970423,0,
LT05_033037_19970509,3564,0.133710028
LT05_033037_19970525,3564,0.144987274
LT05_033037_19970610,3564,0.151384221
LT05_033037_19970626,3564,0.174331447
LT05_033037_19970712,3564,0.146040424
LT05_033037_19970728,0,
LT05_033037_19970813,2519,0.176577633
LT05_033037_19970829,0,
LT05_033037_19970914,3564,0.186400932
LT05_033037_19970930,3564,0.204111273
LT05_033037_19971016,3564,0.164491883
LT05_033037_19971117,3564,0.124545153
LT05_033037_19971203,0,
LT05_033037_19971219,3564,0.106955212
LT05_033037_19980104,0,
LT05_033037_19980309,3564,0.103869087
LT05_033037_19980325,3564,0.113619167
LT05_033037_19980410,3564,0.120034993
LT05_033037_19980426,0,
LT05_033037_19980512,3564,0.147500951
LT05_033037_19980528,3564,0.133919876
LT05_033037_19980613,3564,0.133556883
LT05_033037_19980629,3564,0.130866783
LT05_033037_19980715,3564,0.12704746
LT05_033037_19980731,3450,0.136618453
LT05_033037_19980816,3564,0.15604904
LT05_033037_19980901,3564,0.14865278
LT05_033037_19980917,3564,0.142949181
LT05_033037_19981003,3564,0.1310402
LT05_033037_19981104,3564,0.126631489
LT05_033037_19981120,0,
LT05_033037_19981206,3564,0.112467518
LT05_033037_19981222,3564,0.108346361
LT05_033037_19990107,1977,0.112711617
LT05_033037_19990123,3564,0.115440148
LT05_033037_19990208,3564,0.116505901
LT05_033037_19990224,3564,0.117561409
