system:index,NDVI_count,NDVI_mean
LT05_034038_20040112,2294,0.115605497
LT05_034038_20040128,3562,0.13871121
LT05_034038_20040213,3562,0.156794284
LT05_034038_20040229,0,
LT05_034038_20040316,3562,0.233583486
LT05_034038_20040401,0,
LT05_034038_20040417,0,
LT05_034038_20040503,3562,0.131273047
LT05_034038_20040519,3562,0.127237525
LT05_034038_20040604,3562,0.118617019
LT05_034038_20040620,3562,0.124034779
LT05_034038_20040706,3562,0.122185985
LT05_034038_20040722,0,
LT05_034038_20040807,0,
LT05_034038_20040823,812,0.235826459
LT05_034038_20040908,3562,0.233766081
LT05_034038_20040924,3562,0.209394786
LT05_034038_20041010,3562,0.181575576
LT05_034038_20041026,875,0.135516874
LT05_034038_20041111,3562,0.142069022
LT05_034038_20041127,3562,0.149295984
LT05_034038_20041213,3562,0.149568221
LT05_034038_20041229,0,
LT05_034038_20050114,8,0.051158875
LT05_034038_20050130,3562,0.204973114
LT05_034038_20050215,0,
LT05_034038_20050303,3562,0.285651435
LT05_034038_20050404,3562,0.209858853
LT05_034038_20050420,3562,0.165971285
LT05_034038_20050506,3562,0.154755084
LT05_034038_20050522,3562,0.148980217
LT05_034038_20050607,3562,0.140189691
LT05_034038_20050623,3562,0.139304127
LT05_034038_20050709,3562,0.140723843
LT05_034038_20050725,3562,0.153536936
LT05_034038_20050810,0,
LT05_034038_20050826,3562,0.19300336
LT05_034038_20050911,3153,0.225534731
LT05_034038_20050927,3562,0.180189369
LT05_034038_20051013,2229,0.143757328
LT05_034038_20051029,3562,0.15136659
LT05_034038_20051114,3562,0.132751168
LT05_034038_20060117,3562,0.107486874
LT05_034038_20060202,3562,0.110645124
LT05_034038_20060218,3388,0.09876865
LT05_034038_20060306,3562,0.103905933
LT05_034038_20060407,0,
LT05_034038_20060423,3562,0.098051354
LT05_034038_20060509,3562,0.097034512
LT05_034038_20060525,3562,0.094362004
LT05_034038_20060610,3562,0.110950817
LT05_034038_20060626,3562,0.104989372
LT05_034038_20060712,3562,0.11859619
LT05_034038_20060813,219,0.332398924
LT05_034038_20060829,0,
LT05_034038_20060914,708,0.356152729
LT05_034038_20060930,3562,0.343819175
LT05_034038_20061016,3562,0.275446151
LT05_034038_20061101,3562,0.236549444
LT05_034038_20061117,3562,0.207112388
LT05_034038_20061203,3562,0.16108189
LT05_034038_20061219,600,0.11746588
LT05_034038_20070104,3562,0.1369801
LT05_034038_20070120,335,0.048194293
LT05_034038_20070205,3562,0.10594001
LT05_034038_20070309,3562,0.112275725
LT05_034038_20070325,3562,0.123290624
LT05_034038_20070426,3562,0.122072723
LT05_034038_20070512,3562,0.131297752
LT05_034038_20070528,3562,0.134871274
LT05_034038_20070613,3562,0.143556166
LT05_034038_20070629,3562,0.143518276
LT05_034038_20070715,3562,0.162497442
LT05_034038_20070731,2958,0.202529053
LT05_034038_20070816,3562,0.342485232
LT05_034038_20070901,3562,0.332608403
LT05_034038_20070917,3562,0.302680786
LT05_034038_20071003,3562,0.237557051
LT05_034038_20080208,3562,0.110304367
LT05_034038_20080224,3560,0.111335365
LT05_034038_20080311,3562,0.117440077
LT05_034038_20080327,3562,0.116858222
LT05_034038_20080412,3562,0.111005169
LT05_034038_20080428,3562,0.107937095
LT05_034038_20080514,3562,0.101715075
LT05_034038_20080530,3562,0.106829391
LT05_034038_20080615,3562,0.104295943
LT05_034038_20080701,3562,0.11421884
LT05_034038_20080717,3562,0.153170851
LT05_034038_20080802,3562,0.36562931
LT05_034038_20080818,3562,0.409476769
LT05_034038_20080903,2145,0.328563779
LT05_034038_20080919,3562,0.248858368
LT05_034038_20081005,2973,0.197034336
LT05_034038_20081021,3562,0.170910008
LT05_034038_20081106,3562,0.143262852
LT05_034038_20081122,3562,0.134078241
LT05_034038_20081208,919,0.130313441
