system:index,NDVI_count,NDVI_mean
LT05_033036_20040105,3562,0.114347616
LT05_033036_20040121,3562,0.105744207
LT05_033036_20040206,3562,0.093815051
LT05_033036_20040222,2127,0.076190686
LT05_033036_20040309,3562,0.089136803
LT05_033036_20040325,3562,0.091167155
LT05_033036_20040410,3562,0.11420574
LT05_033036_20040426,3562,0.1366386
LT05_033036_20040512,3562,0.148442508
LT05_033036_20040528,3562,0.145166187
LT05_033036_20040613,3562,0.129787178
LT05_033036_20040629,0,
LT05_033036_20040715,3562,0.150891055
LT05_033036_20040731,3562,0.166145238
LT05_033036_20040816,1279,0.176879045
LT05_033036_20040901,3562,0.164850514
LT05_033036_20040917,3562,0.142764494
LT05_033036_20041003,3562,0.136499522
LT05_033036_20041104,3562,0.119552274
LT05_033036_20041120,3562,0.111885192
LT05_033036_20041222,0,
LT05_033036_20050107,3562,0.114197513
LT05_033036_20050123,3562,0.103347405
LT05_033036_20050208,2078,0.098913542
LT05_033036_20050312,3562,0.100759644
LT05_033036_20050413,3562,0.119555737
LT05_033036_20050429,2297,0.139981428
LT05_033036_20050515,3562,0.156096148
LT05_033036_20050531,3562,0.151749001
LT05_033036_20050616,3562,0.136501346
LT05_033036_20050702,3562,0.135047575
LT05_033036_20050718,3562,0.131800812
LT05_033036_20050803,3562,0.128801506
LT05_033036_20050819,0,
LT05_033036_20050904,822,0.153805523
LT05_033036_20050920,3562,0.213382214
LT05_033036_20051022,3562,0.196189755
LT05_033036_20051107,3562,0.150776102
LT05_033036_20051123,3559,0.113336454
LT05_033036_20060110,3562,0.115865754
LT05_033036_20060126,3562,0.121872788
LT05_033036_20060211,3562,0.112882553
LT05_033036_20060227,3562,0.111754306
LT05_033036_20060331,3562,0.103757746
LT05_033036_20060416,3562,0.108862282
LT05_033036_20060502,3562,0.109865136
LT05_033036_20060518,3562,0.112659431
LT05_033036_20060603,3562,0.105966741
LT05_033036_20060619,3562,0.115491307
LT05_033036_20060705,0,
LT05_033036_20060721,3562,0.133737547
LT05_033036_20060806,0,
LT05_033036_20060923,544,0.147058428
LT05_033036_20061025,615,0.1163328
LT05_033036_20061110,3562,0.13297994
LT05_033036_20061126,0,
LT05_033036_20061212,3562,0.119346975
LT05_033036_20070113,3456,0.09418027
LT05_033036_20070129,3562,0.098001508
LT05_033036_20070302,3562,0.100805665
LT05_033036_20070318,3562,0.101076454
LT05_033036_20070403,1993,0.090243056
LT05_033036_20070419,3562,0.119696912
LT05_033036_20070505,0,
LT05_033036_20070521,3562,0.169605517
LT05_033036_20070622,3562,0.150608124
LT05_033036_20070708,3562,0.157117983
LT05_033036_20070724,625,0.119616585
LT05_033036_20070809,3562,0.15199752
LT05_033036_20070825,0,
LT05_033036_20070910,3562,0.1737947
LT05_033036_20070926,3562,0.167631699
LT05_033036_20080116,3550,0.087953043
