system:index,NDVI_count,NDVI_mean
LT05_033036_20040105,3563,0.131455044
LT05_033036_20040121,3563,0.130972154
LT05_033036_20040206,3563,0.109653336
LT05_033036_20040222,2021,0.092626458
LT05_033036_20040309,3563,0.101035737
LT05_033036_20040325,3563,0.10504091
LT05_033036_20040410,3563,0.120163524
LT05_033036_20040426,3563,0.138086047
LT05_033036_20040512,3563,0.149032802
LT05_033036_20040528,3563,0.149152854
LT05_033036_20040613,3563,0.134057732
LT05_033036_20040629,0,
LT05_033036_20040715,3563,0.146483129
LT05_033036_20040731,3563,0.169352202
LT05_033036_20040816,1193,0.151776253
LT05_033036_20040901,3563,0.159658407
LT05_033036_20040917,3563,0.142162059
LT05_033036_20041003,3563,0.139177128
LT05_033036_20041104,3563,0.12918208
LT05_033036_20041120,3563,0.124316296
LT05_033036_20041222,0,
LT05_033036_20050107,3563,0.132755376
LT05_033036_20050123,3563,0.117691415
LT05_033036_20050208,3063,0.106022083
LT05_033036_20050312,3563,0.110987233
LT05_033036_20050413,3563,0.130335064
LT05_033036_20050429,2476,0.150986328
LT05_033036_20050515,3563,0.165027867
LT05_033036_20050531,3563,0.160310359
LT05_033036_20050616,3549,0.143810888
LT05_033036_20050702,3563,0.141024437
LT05_033036_20050718,3563,0.133307037
LT05_033036_20050803,3563,0.129597398
LT05_033036_20050819,0,
LT05_033036_20050904,859,0.117403381
LT05_033036_20050920,3563,0.1688608
LT05_033036_20051022,3563,0.16873495
LT05_033036_20051107,3563,0.14881362
LT05_033036_20051123,3530,0.114010498
LT05_033036_20060110,3563,0.120252793
LT05_033036_20060126,3563,0.123438063
LT05_033036_20060211,3563,0.114517984
LT05_033036_20060227,3563,0.112020761
LT05_033036_20060331,3563,0.103112654
LT05_033036_20060416,3563,0.106501204
LT05_033036_20060502,3563,0.107252622
LT05_033036_20060518,3563,0.110592692
LT05_033036_20060603,3563,0.106474082
LT05_033036_20060619,3563,0.114214222
LT05_033036_20060705,0,
LT05_033036_20060721,3563,0.131884467
LT05_033036_20060806,0,
LT05_033036_20060923,721,0.14345727
