system:index,NDVI_count,NDVI_mean
LT05_033036_20040105,3566,0.117475638
LT05_033036_20040121,2913,0.081139685
LT05_033036_20040206,3566,0.093961546
LT05_033036_20040222,921,0.063890388
LT05_033036_20040309,3566,0.09328072
LT05_033036_20040325,3566,0.117399979
LT05_033036_20040410,3566,0.151615091
LT05_033036_20040426,3566,0.177534716
LT05_033036_20040512,3566,0.172124132
LT05_033036_20040528,3566,0.155705568
LT05_033036_20040613,3566,0.135292164
LT05_033036_20040629,0,
LT05_033036_20040715,3566,0.196425215
LT05_033036_20040731,3566,0.245201579
LT05_033036_20040816,299,0.219248464
LT05_033036_20040901,3566,0.282927507
LT05_033036_20040917,3566,0.224927134
LT05_033036_20041003,3566,0.197723282
LT05_033036_20041104,3566,0.158252318
LT05_033036_20041120,3566,0.135151027
LT05_033036_20041222,0,
LT05_033036_20050107,3566,0.106487361
LT05_033036_20050123,3566,0.104575099
LT05_033036_20050208,567,0.091347465
LT05_033036_20050312,3566,0.106399456
LT05_033036_20050413,3566,0.135280237
LT05_033036_20050429,472,0.140227962
LT05_033036_20050515,3566,0.166966336
LT05_033036_20050531,3566,0.152627452
LT05_033036_20050616,3566,0.130091186
LT05_033036_20050702,3566,0.130336195
LT05_033036_20050718,3566,0.131684302
LT05_033036_20050803,3566,0.122083455
LT05_033036_20050819,50,0.117273917
LT05_033036_20050904,2997,0.147981805
LT05_033036_20050920,3566,0.210788171
LT05_033036_20051022,3566,0.218130607
LT05_033036_20051107,3566,0.177721079
LT05_033036_20051123,3566,0.141751036
LT05_033036_20060110,3566,0.108385891
LT05_033036_20060126,3566,0.113847314
LT05_033036_20060211,3566,0.102261251
LT05_033036_20060227,3566,0.101423853
LT05_033036_20060331,3566,0.094778717
LT05_033036_20060416,3566,0.105868567
LT05_033036_20060502,2875,0.087792753
LT05_033036_20060518,3566,0.105915931
LT05_033036_20060603,3566,0.098541789
LT05_033036_20060619,3566,0.108281522
LT05_033036_20060705,0,
LT05_033036_20060721,3566,0.114644145
LT05_033036_20060806,106,0.162801856
LT05_033036_20060923,953,0.216810842
LT05_033036_20061025,578,0.168895364
LT05_033036_20061110,3566,0.168656774
LT05_033036_20061126,193,0.106840795
LT05_033036_20061212,3566,0.123632177
LT05_033036_20070113,3566,0.100208982
LT05_033036_20070129,3566,0.099472029
LT05_033036_20070302,3566,0.097435501
LT05_033036_20070318,3566,0.101428975
LT05_033036_20070403,247,0.093514306
LT05_033036_20070419,3566,0.159503862
LT05_033036_20070505,0,
LT05_033036_20070521,3566,0.188003264
LT05_033036_20070622,3566,0.143709156
LT05_033036_20070708,3566,0.178253593
LT05_033036_20070724,3566,0.181234608
LT05_033036_20070809,3566,0.193159313
LT05_033036_20070825,0,
LT05_033036_20070910,3566,0.188550536
LT05_033036_20070926,3566,0.159874672
LT05_033036_20080116,3564,0.081479408
LT05_033036_20080201,3566,0.079750163
LT05_033036_20080217,3566,0.080685779
LT05_033036_20080304,3566,0.083762279
LT05_033036_20080320,1296,0.08098912
LT05_033036_20080405,3566,0.086169791
LT05_033036_20080421,3566,0.083451878
LT05_033036_20080507,3566,0.087222095
LT05_033036_20080608,3566,0.083195585
LT05_033036_20080624,3566,0.089109019
LT05_033036_20080811,3566,0.197656349
LT05_033036_20080827,0,
LT05_033036_20080912,13,0.119952508
LT05_033036_20080928,2743,0.141344862
LT05_033036_20081030,3566,0.149837088
LT05_033036_20081115,3566,0.139463624
LT05_033036_20081201,3566,0.119830937
LT05_033036_20081217,0,
LT05_033036_20090102,3566,0.094602389
LT05_033036_20090118,3566,0.091532649
LT05_033036_20090203,3566,0.116012436
LT05_033036_20090219,3566,0.112661061
LT05_033036_20090307,3566,0.116471463
LT05_033036_20090323,3384,0.107200586
LT05_033036_20090408,0,
LT05_033036_20090424,3566,0.110544494
LT05_033036_20090510,3566,0.110382836
LT05_033036_20090526,3566,0.118136238
LT05_033036_20090611,0,
LT05_033036_20090627,0,
LT05_033036_20090713,3566,0.144424077
LT05_033036_20090729,3566,0.140737158
LT05_033036_20090830,3566,0.128528027
LT05_033036_20090915,3566,0.144889064
LT05_033036_20091001,3566,0.157471326
LT05_033036_20091017,3566,0.140099897
LT05_033036_20091102,3566,0.136607912
LT05_033036_20091118,3566,0.129101497
LT05_033036_20091204,3566,0.121971361
LT05_033036_20100310,0,
LT05_033036_20100326,3566,0.10969195
LT05_033036_20100411,3566,0.130450608
LT05_033036_20100427,3566,0.172327243
LT05_033036_20100513,247,0.141449382
LT05_033036_20100529,3566,0.156776474
LT05_033036_20100614,3566,0.137400747
LT05_033036_20100630,3475,0.145029482
LT05_033036_20100716,0,
LT05_033036_20100801,771,0.193700737
