system:index,NDVI_count,NDVI_mean
LT05_033036_20040105,3562,0.300289017
LT05_033036_20040121,71,0.03903092
LT05_033036_20040206,3562,0.264691931
LT05_033036_20040222,3562,0.241277209
LT05_033036_20040309,3562,0.241426692
LT05_033036_20040325,3562,0.223521884
LT05_033036_20040410,0,
LT05_033036_20040426,3562,0.23532177
LT05_033036_20040512,3562,0.246527675
LT05_033036_20040528,3562,0.249483143
LT05_033036_20040613,3562,0.233835499
LT05_033036_20040629,0,
LT05_033036_20040715,3562,0.262150659
LT05_033036_20040731,3562,0.273022476
LT05_033036_20040816,524,0.214116476
LT05_033036_20040901,3562,0.287625548
LT05_033036_20040917,3562,0.274049426
LT05_033036_20041003,676,0.215319713
LT05_033036_20041104,3562,0.29874158
LT05_033036_20041120,3562,0.292633345
LT05_033036_20041222,0,
LT05_033036_20050107,3562,0.31971218
LT05_033036_20050123,3562,0.302592842
LT05_033036_20050208,2137,0.254169373
LT05_033036_20050312,3562,0.260145216
LT05_033036_20050413,3562,0.244976517
LT05_033036_20050429,3108,0.243683515
LT05_033036_20050515,3207,0.248556613
LT05_033036_20050531,3209,0.192341453
LT05_033036_20050616,3562,0.222906127
LT05_033036_20050702,3562,0.237116408
LT05_033036_20050718,3562,0.242305608
LT05_033036_20050803,3562,0.241533149
LT05_033036_20050819,1439,0.179495016
LT05_033036_20050904,2729,0.263573095
LT05_033036_20050920,3562,0.286876744
LT05_033036_20051022,3562,0.307476718
LT05_033036_20051107,3562,0.271588924
LT05_033036_20051123,3562,0.271971313
LT05_033036_20060110,3562,0.288655402
LT05_033036_20060126,3561,0.266555552
LT05_033036_20060211,3562,0.263890524
LT05_033036_20060227,3562,0.249242055
LT05_033036_20060331,3562,0.205146321
LT05_033036_20060416,3562,0.216285268
LT05_033036_20060502,3562,0.204807682
LT05_033036_20060518,3562,0.209419528
LT05_033036_20060603,3562,0.204732493
LT05_033036_20060619,3562,0.208163165
LT05_033036_20060705,0,
LT05_033036_20060721,3562,0.257494287
LT05_033036_20060806,0,
LT05_033036_20060923,598,0.267634194
LT05_033036_20061025,825,0.191812423
LT05_033036_20061110,3562,0.300801684
LT05_033036_20061126,0,
LT05_033036_20061212,3562,0.296135395
LT05_033036_20070113,3289,0.272475008
LT05_033036_20070129,0,
LT05_033036_20070302,3562,0.262585773
LT05_033036_20070318,3562,0.244583884
LT05_033036_20070403,1706,0.172971024
LT05_033036_20070419,3562,0.262797221
LT05_033036_20070505,0,
LT05_033036_20070521,3562,0.280403033
LT05_033036_20070622,3562,0.250075218
LT05_033036_20070708,3562,0.243454341
LT05_033036_20070724,3562,0.253360191
LT05_033036_20070809,2702,0.274668454
LT05_033036_20070825,0,
LT05_033036_20070910,3562,0.288225339
LT05_033036_20070926,3562,0.303728971
LT05_033036_20080116,3559,0.274742795
LT05_033036_20080201,3562,0.278251152
LT05_033036_20080217,3562,0.267888381
LT05_033036_20080304,3562,0.253093457
