system:index,NDVI_count,NDVI_mean
LT05_033036_20040105,3565,0.18467881
LT05_033036_20040121,3525,0.031067875
LT05_033036_20040206,3565,0.152171198
LT05_033036_20040222,3565,0.119426737
LT05_033036_20040309,3563,0.137524402
LT05_033036_20040325,3565,0.138009493
LT05_033036_20040410,895,0.13079834
LT05_033036_20040426,3565,0.173952273
LT05_033036_20040512,3565,0.180148078
LT05_033036_20040528,3565,0.176316557
LT05_033036_20040613,3565,0.156855338
LT05_033036_20040629,0,
LT05_033036_20040715,3565,0.193503142
LT05_033036_20040731,3565,0.219193297
LT05_033036_20040816,567,0.2104423
LT05_033036_20040901,3565,0.218518652
LT05_033036_20040917,3565,0.190584338
LT05_033036_20041003,3545,0.189746803
LT05_033036_20041104,3565,0.189048981
LT05_033036_20041120,3565,0.174515292
LT05_033036_20041222,0,
LT05_033036_20050107,3565,0.176628989
LT05_033036_20050123,3565,0.165223197
LT05_033036_20050208,1675,0.16412542
LT05_033036_20050312,3564,0.144635519
LT05_033036_20050413,3565,0.15382257
LT05_033036_20050429,1285,0.15721186
LT05_033036_20050515,3565,0.179788338
LT05_033036_20050531,2346,0.146373707
LT05_033036_20050616,3555,0.150146237
LT05_033036_20050702,3565,0.151366757
LT05_033036_20050718,3565,0.152338646
LT05_033036_20050803,3565,0.147537612
LT05_033036_20050819,903,0.140489973
LT05_033036_20050904,1444,0.194405853
LT05_033036_20050920,3565,0.23180773
LT05_033036_20051022,3565,0.241580012
LT05_033036_20051107,3565,0.207380867
LT05_033036_20051123,1135,0.160771063
LT05_033036_20060110,3565,0.168843171
LT05_033036_20060126,3565,0.162185615
LT05_033036_20060211,3565,0.154584699
LT05_033036_20060227,3565,0.147082312
LT05_033036_20060331,3565,0.122222186
LT05_033036_20060416,3565,0.127717738
LT05_033036_20060502,3565,0.115556665
LT05_033036_20060518,3565,0.127710674
LT05_033036_20060603,3565,0.121034313
LT05_033036_20060619,3565,0.126260683
LT05_033036_20060705,661,0.111470771
LT05_033036_20060721,3565,0.180514945
LT05_033036_20060806,0,
LT05_033036_20060923,202,0.182830754
LT05_033036_20061025,2962,0.224249115
LT05_033036_20061110,3565,0.212233456
LT05_033036_20061126,0,
LT05_033036_20061212,3565,0.194030827
LT05_033036_20070113,2555,0.148739142
LT05_033036_20070129,0,
LT05_033036_20070302,3565,0.170328997
LT05_033036_20070318,3565,0.170301205
LT05_033036_20070403,5,0.114643177
LT05_033036_20070419,3564,0.226910484
LT05_033036_20070505,0,
LT05_033036_20070521,3565,0.231720523
LT05_033036_20070622,3565,0.194768548
LT05_033036_20070708,3565,0.18550776
LT05_033036_20070724,2644,0.166973198
LT05_033036_20070809,3449,0.202058571
LT05_033036_20070825,0,
LT05_033036_20070910,3565,0.203361417
LT05_033036_20070926,3565,0.228006307
LT05_033036_20080116,3545,0.151326108
LT05_033036_20080201,3565,0.156187573
LT05_033036_20080217,3565,0.150153257
LT05_033036_20080304,3565,0.146759971
LT05_033036_20080320,131,0.104121854
LT05_033036_20080405,3491,0.122719618
LT05_033036_20080421,3565,0.13023079
