system:index,NDVI_count,NDVI_mean
LT05_033032_19950128,1224,0.106560683
LT05_033032_19950213,0,
LT05_033032_19950317,0,
LT05_033032_19950402,316,0.223432551
LT05_033032_19950418,3566,0.264570088
LT05_033032_19950504,3566,0.374983787
LT05_033032_19950605,1,0.476903607
LT05_033032_19950621,3566,0.396817903
LT05_033032_19950707,3566,0.473413784
LT05_033032_19950723,3566,0.544727349
LT05_033032_19950808,62,0.261962877
LT05_033032_19950824,3566,0.485851439
LT05_033032_19950909,9,0.159203391
LT05_033032_19950925,3566,0.338788911
LT05_033032_19951011,3566,0.308411282
LT05_033032_19951214,263,0.096001747
LT05_033032_19960216,3566,0.162486857
LT05_033032_19960303,3566,0.155643199
LT05_033032_19960319,3566,0.155795151
LT05_033032_19960420,0,
LT05_033032_19960506,3426,0.241971098
LT05_033032_19960522,3566,0.324173264
LT05_033032_19960607,3566,0.384481295
LT05_033032_19960623,3566,0.453100022
LT05_033032_19960725,1134,0.363436278
LT05_033032_19960810,3566,0.475187405
LT05_033032_19960826,2574,0.457427481
LT05_033032_19960911,0,
LT05_033032_19960927,3566,0.445596297
LT05_033032_19961013,3566,0.426049847
LT05_033032_19961130,3566,0.109695259
LT05_033032_19970101,0,
LT05_033032_19970117,0,
LT05_033032_19970202,326,0.026750909
LT05_033032_19970218,0,
LT05_033032_19970306,0,
LT05_033032_19970322,0,
LT05_033032_19970407,3097,0.158459536
LT05_033032_19970423,1511,0.194455316
LT05_033032_19970509,3566,0.22223223
LT05_033032_19970525,1462,0.236778808
LT05_033032_19970610,2136,0.551378068
LT05_033032_19970626,3566,0.426941434
LT05_033032_19970712,3566,0.377276492
LT05_033032_19970813,0,
LT05_033032_19970829,3566,0.498521867
LT05_033032_19970914,3073,0.491859528
LT05_033032_19970930,3566,0.417840327
LT05_033032_19971016,3566,0.345873203
LT05_033032_19971101,3566,0.295707139
LT05_033032_19971117,3566,0.19800422
LT05_033032_19971203,3531,-0.006819904
LT05_033032_19980104,0,
LT05_033032_19980120,3566,0.149521822
LT05_033032_19980325,3566,0.163056494
LT05_033032_19980410,3566,0.175577234
LT05_033032_19980426,3171,0.244734025
LT05_033032_19980512,3566,0.362199589
LT05_033032_19980528,3566,0.411368797
LT05_033032_19980613,597,0.394346681
LT05_033032_19980629,3566,0.324968284
LT05_033032_19980715,1238,0.362078349
LT05_033032_19980731,886,0.197143832
LT05_033032_19980816,144,0.217614822
LT05_033032_19980901,2923,0.372193672
LT05_033032_19980917,3566,0.330407248
