system:index,NDVI_count,NDVI_mean
LE07_033037_20040113,2946,0.093010967
LE07_033037_20040129,1974,0.094353343
LE07_033037_20040214,3006,0.090127255
LE07_033037_20040301,2981,0.098871443
LE07_033037_20040317,2972,0.093019942
LE07_033037_20040402,2887,0.095982554
LE07_033037_20040418,0,
LE07_033037_20040504,2866,0.132746316
LE07_033037_20040520,2863,0.124054779
LE07_033037_20040605,2966,0.119680174
LE07_033037_20040621,2873,0.119510901
LE07_033037_20040707,2988,0.116121419
LE07_033037_20040723,922,0.077382261
LE07_033037_20040808,2939,0.112910707
LE07_033037_20040909,2945,0.168910319
LE07_033037_20040925,0,
LE07_033037_20041011,2949,0.174119668
LE07_033037_20041027,2845,0.134884304
LE07_033037_20041112,2980,0.100338472
LE07_033037_20041128,0,
LE07_033037_20041214,2883,0.09880473
LE07_033037_20041230,2973,0.091821627
LE07_033037_20050115,2873,0.109698611
LE07_033037_20050131,2902,0.110581353
LE07_033037_20050304,2860,0.120550529
LE07_033037_20050320,0,
LE07_033037_20050405,2878,0.14164615
LE07_033037_20050421,3020,0.139106933
LE07_033037_20050507,0,
LE07_033037_20050523,2855,0.160146624
LE07_033037_20050608,3018,0.158855277
LE07_033037_20050624,3011,0.156706256
LE07_033037_20050710,2962,0.14818625
LE07_033037_20050726,0,
LE07_033037_20050811,2922,0.146575359
LE07_033037_20050827,2887,0.156677048
LE07_033037_20050912,2905,0.169337569
LE07_033037_20050928,2977,0.157204406
LE07_033037_20051014,2869,0.148685483
LE07_033037_20051030,2958,0.143793278
LE07_033037_20051115,2999,0.132022694
LE07_033037_20051201,2913,0.120890816
LE07_033037_20051217,2897,0.116437665
LE07_033037_20060102,2055,0.079475285
LE07_033037_20060118,2861,0.108990532
LE07_033037_20060203,2855,0.109543522
LE07_033037_20060219,695,0.061720214
LE07_033037_20060307,342,0.077473595
LE07_033037_20060323,2856,0.106681648
LE07_033037_20060408,2909,0.10608179
LE07_033037_20060424,2882,0.120879763
LE07_033037_20060510,2870,0.123897857
LE07_033037_20060526,2967,0.124515894
LE07_033037_20060611,2811,0.129827248
LE07_033037_20060627,2839,0.117758733
LE07_033037_20060713,2938,0.113095322
LE07_033037_20060814,2629,0.127289273
LE07_033037_20060830,2564,0.19366146
LE07_033037_20060915,2969,0.246549162
LE07_033037_20061001,2844,0.238912436
LE07_033037_20061017,3004,0.210539631
LE07_033037_20061102,2982,0.185726325
LE07_033037_20061118,2806,0.157366911
LE07_033037_20061204,2799,0.129762314
LE07_033037_20070105,2987,0.125418043
LE07_033037_20070121,2915,0.121608381
LE07_033037_20070206,2849,0.118929124
LE07_033037_20070222,0,
LE07_033037_20070310,2818,0.100882491
LE07_033037_20070326,2879,0.1316875
LE07_033037_20070411,2854,0.15117068
LE07_033037_20070427,2981,0.178621812
LE07_033037_20070513,2906,0.188331191
LE07_033037_20070529,2966,0.201966521
LE07_033037_20070614,2894,0.188743709
LE07_033037_20070630,2886,0.178377921
LE07_033037_20070716,2977,0.197595699
LE07_033037_20070801,2864,0.180221854
LE07_033037_20070817,2985,0.189318813
LE07_033037_20070902,2931,0.181116012
LE07_033037_20070918,2294,0.169378818
LE07_033037_20071004,3028,0.159920501
LE07_033037_20071020,3009,0.141271387
LE07_033037_20071105,2883,0.140427355
LE07_033037_20071121,2900,0.124182315
LE07_033037_20071207,2833,0.110770769
LE07_033037_20071223,2928,0.111428955
LE07_033037_20080108,2966,0.099904655
LE07_033037_20080209,2973,0.107063718
LE07_033037_20080225,546,0.066795995
LE07_033037_20080312,3022,0.106182449
LE07_033037_20080328,2881,0.10763133
LE07_033037_20080413,2854,0.107777911
LE07_033037_20080429,2662,0.102499496
LE07_033037_20080531,2882,0.099204017
LE07_033037_20080616,2966,0.118269889
LE07_033037_20080702,2891,0.112808505
LE07_033037_20080718,2658,0.107275162
LE07_033037_20080803,2922,0.191685885
LE07_033037_20080819,2180,0.281764979
LE07_033037_20080904,2914,0.307150253
LE07_033037_20080920,2922,0.276413039
LE07_033037_20081006,2853,0.224435286
LE07_033037_20081022,2993,0.170679683
LE07_033037_20081107,3000,0.149649549
LE07_033037_20081123,2900,0.126910975
LE07_033037_20081209,0,
LE07_033037_20081225,2967,0.115734131
LE07_033037_20090110,684,0.064144142
LE07_033037_20090126,2977,0.118251029
LE07_033037_20090211,3003,0.114310184
LE07_033037_20090227,3022,0.113380699
LE07_033037_20090315,3010,0.1144762
LE07_033037_20090331,2893,0.117587071
LE07_033037_20090416,984,0.089989571
LE07_033037_20090502,0,
LE07_033037_20090518,2858,0.13881325
LE07_033037_20090603,2907,0.137118965
LE07_033037_20090619,0,
LE07_033037_20090705,2445,0.124956653
LE07_033037_20090721,0,
LE07_033037_20090806,2923,0.132619829
LE07_033037_20090907,0,
LE07_033037_20090923,2901,0.123823242
LE07_033037_20091009,2950,0.122153221
LE07_033037_20091025,2935,0.120674285
LE07_033037_20091110,2976,0.11387362
LE07_033037_20091126,2963,0.106738993
LE07_033037_20091212,3059,0.101027644
LE07_033037_20091228,0,
LE07_033037_20100113,2887,0.108207193
LE07_033037_20100129,2876,0.104950784
LE07_033037_20100214,2845,0.095312673
