system:index,NDVI_count,NDVI_mean
LE07_033036_20040113,2083,0.088046021
LE07_033036_20040129,2137,0.081340871
LE07_033036_20040214,1959,0.073414105
LE07_033036_20040301,2111,0.07064631
LE07_033036_20040317,2123,0.086481684
LE07_033036_20040418,2289,0.103985967
LE07_033036_20040504,2123,0.126574515
LE07_033036_20040520,2325,0.121727553
LE07_033036_20040605,2144,0.118875046
LE07_033036_20040621,2281,0.111069535
LE07_033036_20040707,2121,0.114484482
LE07_033036_20040723,2016,0.102265379
LE07_033036_20040808,2080,0.122471589
LE07_033036_20040824,0,
LE07_033036_20040909,2281,0.115593678
LE07_033036_20040925,685,0.064644105
LE07_033036_20041011,0,
LE07_033036_20041027,690,0.101011695
LE07_033036_20041112,2320,0.078454359
LE07_033036_20041128,571,-0.042571906
LE07_033036_20041214,2077,0.099725757
LE07_033036_20041230,2145,0.101774372
LE07_033036_20050115,2229,0.093996708
LE07_033036_20050216,182,0.038059415
LE07_033036_20050304,2120,0.078461191
LE07_033036_20050320,0,
LE07_033036_20050405,2080,0.10181547
LE07_033036_20050421,2158,0.107414583
LE07_033036_20050507,1,0.086497558
LE07_033036_20050523,2092,0.136096067
LE07_033036_20050608,2310,0.128249405
LE07_033036_20050624,2233,0.126499985
LE07_033036_20050710,2302,0.123820159
LE07_033036_20050726,127,0.106397715
LE07_033036_20050811,2242,0.121252891
LE07_033036_20050827,1048,0.112083796
LE07_033036_20050912,2158,0.123077612
LE07_033036_20050928,2127,0.087088139
LE07_033036_20051014,2115,0.120498389
LE07_033036_20051030,2312,0.122411656
LE07_033036_20051115,2276,0.119606809
LE07_033036_20051201,2314,0.101797655
LE07_033036_20051217,2054,0.104306058
LE07_033036_20060102,1,0.058732011
LE07_033036_20060118,0,
LE07_033036_20060203,2090,0.094731966
LE07_033036_20060219,2184,0.091403967
LE07_033036_20060307,0,
LE07_033036_20060323,2192,0.087243995
LE07_033036_20060408,2308,0.082994327
LE07_033036_20060424,2292,0.081862907
LE07_033036_20060510,2340,0.086439793
LE07_033036_20060526,2207,0.089082378
LE07_033036_20060611,2186,0.092708244
LE07_033036_20060627,2343,0.097702605
LE07_033036_20060713,1205,0.090842311
LE07_033036_20060830,2186,0.191605495
LE07_033036_20060915,2161,0.203652438
LE07_033036_20061001,57,0.124881708
LE07_033036_20061017,2087,0.15506084
LE07_033036_20061102,2105,0.150543645
LE07_033036_20061118,2361,0.124166756
LE07_033036_20061204,2367,0.119629855
LE07_033036_20061220,0,
LE07_033036_20070105,2085,0.094846575
LE07_033036_20070121,0,
LE07_033036_20070206,2317,0.100647276
LE07_033036_20070222,0,
LE07_033036_20070310,0,
LE07_033036_20070326,2179,0.104297973
LE07_033036_20070411,2173,0.107618162
LE07_033036_20070427,2316,0.119868721
LE07_033036_20070513,2146,0.142453061
LE07_033036_20070529,2130,0.151637804
LE07_033036_20070614,2167,0.144450339
LE07_033036_20070630,2145,0.143853583
LE07_033036_20070716,2328,0.140693166
LE07_033036_20070801,2333,0.125005934
LE07_033036_20070817,2243,0.129585179
LE07_033036_20070902,2191,0.157844618
LE07_033036_20070918,1893,0.140538939
LE07_033036_20071004,2242,0.127126264
LE07_033036_20071020,2286,0.122191659
LE07_033036_20071105,2197,0.113037012
LE07_033036_20071121,2261,0.102040768
LE07_033036_20071207,0,
LE07_033036_20071223,2276,0.101508281
LE07_033036_20080108,2318,0.104151954
LE07_033036_20080209,2245,0.089705614
LE07_033036_20080225,37,0.060852536
LE07_033036_20080312,2309,0.086878416
LE07_033036_20080328,0,
LE07_033036_20080413,2177,0.091806857
LE07_033036_20080429,2227,0.091246597
LE07_033036_20080531,2315,0.099168394
LE07_033036_20080616,2270,0.091726746
LE07_033036_20080702,2279,0.108995879
LE07_033036_20080718,2024,0.096674882
LE07_033036_20080803,2140,0.120195567
LE07_033036_20080819,2255,0.161611438
LE07_033036_20080904,2189,0.168510477
LE07_033036_20080920,2380,0.142840653
LE07_033036_20081006,2197,0.146271066
LE07_033036_20081022,2207,0.1303988
LE07_033036_20081107,2283,0.108501006
LE07_033036_20081123,2129,0.103369512
LE07_033036_20081225,142,-0.003419532
LE07_033036_20090110,2163,0.088227233
LE07_033036_20090126,5,0.05838612
LE07_033036_20090211,2124,0.088830012
LE07_033036_20090227,2259,0.084740633
LE07_033036_20090315,1564,0.086222528
LE07_033036_20090331,2172,0.08257546
LE07_033036_20090416,2189,0.08203293
LE07_033036_20090502,0,
LE07_033036_20090518,2198,0.086773026
LE07_033036_20090603,2266,0.099369208
LE07_033036_20090619,2262,0.099447009
LE07_033036_20090705,2349,0.104950905
LE07_033036_20090721,2031,0.109785363
LE07_033036_20090806,0,
LE07_033036_20090907,2348,0.093403568
LE07_033036_20090923,2177,0.105108413
LE07_033036_20091009,2099,0.09958375
LE07_033036_20091025,1967,0.088380794
LE07_033036_20091110,2198,0.083599765
LE07_033036_20091126,2239,0.089462172
LE07_033036_20091212,2268,0.077923066
LE07_033036_20091228,0,
LE07_033036_20100113,2172,0.082020652
LE07_033036_20100129,0,
LE07_033036_20100214,2196,0.075627705
LE07_033036_20100302,2401,0.05722537
LE07_033036_20100318,2211,0.080286242
LE07_033036_20100403,2274,0.079153084
LE07_033036_20100419,757,0.059905439
LE07_033036_20100505,2331,0.107759667
LE07_033036_20100521,2303,0.109515671
LE07_033036_20100606,2120,0.106160597
LE07_033036_20100622,2300,0.099202637
LE07_033036_20100708,1354,0.100523588
LE07_033036_20100809,2177,0.129269756
LE07_033036_20100825,2247,0.128168461
LE07_033036_20100910,2159,0.121301044
LE07_033036_20100926,2213,0.132508261
LE07_033036_20101012,2163,0.121420357
LE07_033036_20101028,2090,0.110563108
LE07_033036_20101113,2295,0.086899077
LE07_033036_20101215,2214,0.089486719
LE07_033036_20101231,0,
LE07_033036_20110217,2297,0.083627782
LE07_033036_20110305,2143,0.080439094
LE07_033036_20110321,2274,0.076011187
LE07_033036_20110406,2287,0.075641373
LE07_033036_20110422,2302,0.075568582
LE07_033036_20110508,2218,0.079014033
LE07_033036_20110524,2128,0.078822888
LE07_033036_20110609,2190,0.084003607
LE07_033036_20110625,2313,0.072846136
LE07_033036_20110711,2117,0.085903799
LE07_033036_20110727,2300,0.080067397
LE07_033036_20110812,2128,0.081247288
LE07_033036_20110828,2331,0.082355707
LE07_033036_20110913,2302,0.09097999
LE07_033036_20110929,2315,0.085816359
LE07_033036_20111015,2195,0.080172309
LE07_033036_20111031,877,0.074181889
LE07_033036_20111116,2229,0.081764915
LE07_033036_20111218,0,
LE07_033036_20120103,2355,0.076741709
LE07_033036_20120119,2292,0.076206643
LE07_033036_20120204,2133,0.077569529
LE07_033036_20120220,2144,0.079107406
LE07_033036_20120307,2276,0.080273289
LE07_033036_20120323,2172,0.080357545
LE07_033036_20120408,2178,0.085874251
LE07_033036_20120424,2384,0.099239259
LE07_033036_20120510,2394,0.124581876
LE07_033036_20120526,2329,0.118221017
LE07_033036_20120611,2265,0.108089303
LE07_033036_20120627,2074,0.106706285
LE07_033036_20120713,2257,0.101985878
LE07_033036_20120729,2171,0.100134962
LE07_033036_20120830,2089,0.101354158
LE07_033036_20120915,2157,0.097643595
LE07_033036_20121001,2173,0.09948242
LE07_033036_20121017,2216,0.093897571
LE07_033036_20121102,2188,0.088651873
LE07_033036_20121118,2187,0.093122633
LE07_033036_20121204,2093,0.074181307
LE07_033036_20121220,2321,0.088116913
LE07_033036_20130105,2266,0.089365682
LE07_033036_20130121,2313,0.085846346
LE07_033036_20130206,2193,0.072601227
LE07_033036_20130222,2122,0.085320655
LE07_033036_20130310,2203,0.060478113
LE07_033036_20130326,2288,0.067738728
LE07_033036_20130411,2264,0.082218173
LE07_033036_20130427,2152,0.078178061
LE07_033036_20130513,2307,0.080256773
LE07_033036_20130529,2287,0.085437331
LE07_033036_20130614,2197,0.084069933
LE07_033036_20130630,2150,0.089078136
LE07_033036_20130716,2128,0.08448797
LE07_033036_20130801,2274,0.108566565
LE07_033036_20130817,1223,0.140768071
LE07_033036_20130902,2162,0.12790438
LE07_033036_20130918,2167,0.148133358
LE07_033036_20131004,2159,0.156421714
LE07_033036_20131020,2126,0.138193789
LE07_033036_20131105,2313,0.123436807
LE07_033036_20131121,0,
LE07_033036_20131223,2310,0.100278568
LE07_034036_20040104,2442,0.084066241
LE07_034036_20040205,2469,0.078052303
LE07_034036_20040308,2387,0.071942766
LE07_034036_20040324,2376,0.091613231
LE07_034036_20040409,567,0.068304145
LE07_034036_20040425,2438,0.117660718
LE07_034036_20040511,2380,0.127979189
LE07_034036_20040527,2469,0.128969909
