system:index,NDVI_count,NDVI_mean
LE07_033036_20040113,2117,0.08961563
LE07_033036_20040129,2159,0.083297418
LE07_033036_20040214,2094,0.080634602
LE07_033036_20040301,2168,0.069673513
LE07_033036_20040317,2171,0.088197378
LE07_033036_20040418,2306,0.104833825
LE07_033036_20040504,2152,0.124912556
LE07_033036_20040520,2378,0.120052136
LE07_033036_20040605,2208,0.116082633
LE07_033036_20040621,2339,0.108571331
LE07_033036_20040707,2177,0.112215265
LE07_033036_20040723,1279,0.07351899
LE07_033036_20040808,2123,0.123816926
LE07_033036_20040824,0,
LE07_033036_20040909,2347,0.112330524
LE07_033036_20040925,708,0.050112596
LE07_033036_20041011,0,
LE07_033036_20041027,907,0.105294607
LE07_033036_20041112,2355,0.080115049
LE07_033036_20041128,316,0.069400612
LE07_033036_20041214,2119,0.09749592
LE07_033036_20041230,2214,0.098401545
LE07_033036_20050115,2234,0.093436405
LE07_033036_20050216,210,0.033548246
LE07_033036_20050304,2176,0.076235356
LE07_033036_20050320,0,
LE07_033036_20050405,2130,0.098928993
LE07_033036_20050421,2233,0.113317329
LE07_033036_20050507,489,0.10752005
LE07_033036_20050523,2136,0.127651995
LE07_033036_20050608,2351,0.124160948
LE07_033036_20050624,2300,0.120374958
LE07_033036_20050710,2318,0.116120921
LE07_033036_20050726,770,0.104335679
LE07_033036_20050811,2240,0.107808629
LE07_033036_20050827,1281,0.114623306
LE07_033036_20050912,2170,0.115394746
LE07_033036_20050928,757,0.077861019
LE07_033036_20051014,2178,0.118214339
LE07_033036_20051030,2330,0.120827585
LE07_033036_20051115,2280,0.118979599
LE07_033036_20051201,2351,0.105355825
LE07_033036_20051217,2108,0.104872341
LE07_033036_20060102,0,
LE07_033036_20060118,0,
LE07_033036_20060203,2134,0.094890484
LE07_033036_20060219,2114,0.088825817
LE07_033036_20060307,0,
LE07_033036_20060323,2267,0.084452602
LE07_033036_20060408,2355,0.082953623
LE07_033036_20060424,2348,0.082105117
LE07_033036_20060510,2387,0.083206024
LE07_033036_20060526,2222,0.082178404
LE07_033036_20060611,2254,0.087400269
LE07_033036_20060627,2388,0.100512916
LE07_033036_20060713,1520,0.096137319
LE07_033036_20060830,2205,0.225255747
LE07_033036_20060915,2186,0.215743784
LE07_033036_20061001,49,0.142552342
LE07_033036_20061017,2123,0.152757739
LE07_033036_20061102,2147,0.131981059
LE07_033036_20061118,2382,0.117875087
LE07_033036_20061204,2393,0.116869896
LE07_033036_20061220,0,
LE07_033036_20070105,2104,0.081386145
LE07_033036_20070121,0,
LE07_033036_20070206,2368,0.093990082
LE07_033036_20070222,0,
LE07_033036_20070310,0,
LE07_033036_20070326,2247,0.10159143
LE07_033036_20070411,2208,0.10573307
LE07_033036_20070427,2373,0.121349274
LE07_033036_20070513,2190,0.134203475
LE07_033036_20070529,2181,0.144266908
LE07_033036_20070614,2192,0.134580645
LE07_033036_20070630,2186,0.1365884
LE07_033036_20070716,2377,0.144153837
LE07_033036_20070801,2385,0.126606193
LE07_033036_20070817,2307,0.125128096
LE07_033036_20070902,2251,0.158718667
LE07_033036_20070918,2241,0.154004408
LE07_033036_20071004,2339,0.141413393
LE07_033036_20071020,2345,0.129019617
LE07_033036_20071105,2255,0.1164714
LE07_033036_20071121,2329,0.107567049
LE07_033036_20071207,0,
LE07_033036_20071223,2340,0.106896215
LE07_033036_20080108,2381,0.107163404
LE07_033036_20080209,2311,0.091416007
LE07_033036_20080225,1431,0.076415813
LE07_033036_20080312,2355,0.087209889
LE07_033036_20080328,0,
LE07_033036_20080413,2216,0.087999955
LE07_033036_20080429,2288,0.088633526
LE07_033036_20080531,2332,0.098545473
LE07_033036_20080616,2334,0.092271619
LE07_033036_20080702,2295,0.106779198
LE07_033036_20080718,1904,0.094742201
LE07_033036_20080803,2136,0.104341646
LE07_033036_20080819,2269,0.144357173
LE07_033036_20080904,2244,0.127503226
