system:index,NDVI_count,NDVI_mean
LE07_033036_20040113,2090,0.151246295
LE07_033036_20040129,1587,0.146005656
LE07_033036_20040214,1665,0.11611284
LE07_033036_20040301,476,0.095930496
LE07_033036_20040317,2002,0.122310851
LE07_033036_20040418,2021,0.148421795
LE07_033036_20040504,2138,0.162249878
LE07_033036_20040520,1948,0.162418289
LE07_033036_20040605,1945,0.149256009
LE07_033036_20040621,1914,0.149243417
LE07_033036_20040707,1966,0.141400074
LE07_033036_20040723,1564,0.136792823
LE07_033036_20040808,2019,0.192928627
LE07_033036_20040824,0,
LE07_033036_20040909,1928,0.188681967
LE07_033036_20040925,3,-0.086384659
LE07_033036_20041011,1,-0.559454191
LE07_033036_20041027,0,
LE07_033036_20041112,1735,0.071155996
LE07_033036_20041128,293,0.152047821
LE07_033036_20041214,2002,0.157143081
LE07_033036_20041230,1903,0.171191868
LE07_033036_20050115,2102,0.15862321
LE07_033036_20050216,0,
LE07_033036_20050304,1889,0.112694283
LE07_033036_20050320,0,
LE07_033036_20050405,1962,0.137167094
LE07_033036_20050421,850,0.1456915
LE07_033036_20050507,2123,0.168144424
LE07_033036_20050523,2024,0.160390697
LE07_033036_20050608,1940,0.165316985
LE07_033036_20050624,1694,0.152974628
LE07_033036_20050710,2042,0.154273632
LE07_033036_20050726,0,
LE07_033036_20050811,2144,0.146938096
LE07_033036_20050827,2132,0.15183824
LE07_033036_20050912,1033,0.150637392
LE07_033036_20050928,1898,0.078582361
LE07_033036_20051014,1893,0.159532244
LE07_033036_20051030,1204,0.154381379
LE07_033036_20051115,2110,0.168860921
LE07_033036_20051201,1970,0.165710914
LE07_033036_20051217,641,0.143620971
LE07_033036_20060102,1928,0.113250679
LE07_033036_20060118,0,
LE07_033036_20060203,2020,0.14361569
LE07_033036_20060219,2153,0.143335305
LE07_033036_20060307,0,
LE07_033036_20060323,1901,0.128013983
LE07_033036_20060408,1939,0.127577042
LE07_033036_20060424,1919,0.121516601
LE07_033036_20060510,1984,0.118288079
LE07_033036_20060526,2178,0.115455377
LE07_033036_20060611,1934,0.113495082
LE07_033036_20060627,1997,0.127289088
LE07_033036_20060713,2047,0.130883152
LE07_033036_20060830,2173,0.290788608
LE07_033036_20060915,2163,0.275714238
LE07_033036_20061001,1995,0.211580227
LE07_033036_20061017,2087,0.211962551
LE07_033036_20061102,2020,0.202047132
LE07_033036_20061118,2102,0.189392956
LE07_033036_20061204,2081,0.188769199
LE07_033036_20061220,0,
LE07_033036_20070105,1964,0.128283516
LE07_033036_20070121,0,
LE07_033036_20070206,1954,0.160147882
LE07_033036_20070222,0,
LE07_033036_20070310,0,
LE07_033036_20070326,1926,0.155509892
LE07_033036_20070411,2182,0.157292416
LE07_033036_20070427,1991,0.157903062
LE07_033036_20070513,2151,0.16365946
LE07_033036_20070529,2100,0.161344366
LE07_033036_20070614,2107,0.157096433
LE07_033036_20070630,2166,0.147377872
LE07_033036_20070716,1971,0.146571165
LE07_033036_20070801,1972,0.138353244
LE07_033036_20070817,2029,0.139740952
LE07_033036_20070902,2084,0.152658228
LE07_033036_20070918,2082,0.158432201
LE07_033036_20071004,1919,0.152246723
LE07_033036_20071020,1967,0.147904508
LE07_033036_20071105,2097,0.148533164
LE07_033036_20071121,2058,0.147906952
LE07_033036_20071207,0,
LE07_033036_20071223,1945,0.139436275
LE07_033036_20080108,2028,0.164054651
LE07_033036_20080209,2049,0.136955448
LE07_033036_20080225,1798,0.110220937
LE07_033036_20080312,1941,0.122221795
LE07_033036_20080328,2102,0.115783822
LE07_033036_20080413,2181,0.121253527
LE07_033036_20080429,2126,0.10260974
LE07_033036_20080531,2056,0.142026077
LE07_033036_20080616,1878,0.122955315
LE07_033036_20080702,2022,0.135292998
LE07_033036_20080718,2126,0.147998774
LE07_033036_20080803,2135,0.160015
LE07_033036_20080819,2050,0.183118419
LE07_033036_20080904,2145,0.175356329
LE07_033036_20080920,2000,0.181037613
LE07_033036_20081006,2218,0.184292013
LE07_033036_20081022,2003,0.17167302
LE07_033036_20081107,1959,0.157840077
LE07_033036_20081123,2148,0.155643045
LE07_033036_20081225,252,0.082125008
LE07_033036_20090110,2025,0.150259256
