"species","recordID","month","day","year","period","plot","note1","stake","sex","reprod","age","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","ltag","note3","prevrt","prevlet","nestdir","neststk","note4","note5","scientificname","censustarget"
"DM",287,10,17,1977,4,17,NA,11,"M","Z",NA,NA,NA,NA,NA,NA,38,41,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"DM",288,10,17,1977,4,17,NA,14,"M",NA,"J",NA,NA,NA,NA,NA,37,48,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"DM",289,10,17,1977,4,14,NA,15,"M",NA,NA,"S",NA,NA,NA,NA,38,47,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"DM",290,10,17,1977,4,17,NA,15,"F","Z",NA,NA,NA,NA,NA,NA,33,NA,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"DS",291,10,17,1977,4,11,NA,16,"F","Z",NA,NA,NA,NA,NA,NA,47,NA,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys spectabilis",1
"DM",293,10,17,1977,4,4,NA,23,"F","Z",NA,NA,NA,NA,NA,NA,36,42,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"DM",295,10,17,1977,4,11,NA,24,"M","Z",NA,NA,NA,NA,NA,NA,36,41,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"OT",296,10,17,1977,4,17,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,18,21,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Onychomys torridus",1
"NA",297,10,17,1977,4,11,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Neotoma albigula",1
"OT",299,10,17,1977,4,17,NA,32,"M","Z",NA,NA,NA,NA,NA,NA,19,NA,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Onychomys torridus",1
"DS",300,10,17,1977,4,14,1,33,"F","Z",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,"0","0",NA,NA,NA,"E","Dipodomys spectabilis",1
"DS",301,10,17,1977,4,17,NA,33,"F","Z",NA,NA,NA,NA,NA,NA,48,NA,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys spectabilis",1
"DM",305,10,17,1977,4,14,NA,42,"F","Z",NA,NA,NA,NA,NA,NA,35,40,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"DS",308,10,17,1977,4,4,NA,51,"F","Z",NA,NA,NA,NA,NA,NA,48,NA,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys spectabilis",1
"DS",309,10,17,1977,4,17,NA,51,"M","Z",NA,NA,NA,NA,NA,NA,49,NA,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys spectabilis",1
"DS",310,10,17,1977,4,11,1,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,"0","0",NA,NA,NA,"E","Dipodomys spectabilis",1
"DM",312,10,17,1977,4,11,NA,53,"F","Z",NA,NA,NA,NA,NA,NA,36,42,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"NA",314,10,17,1977,4,14,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Neotoma albigula",1
"DO",317,10,17,1977,4,17,NA,65,"F",NA,NA,NA,"S",NA,NA,NA,32,48,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys ordii",1
"DM",318,10,17,1977,4,17,NA,66,"M",NA,"J",NA,NA,NA,NA,NA,33,29,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"DM",319,10,17,1977,4,14,NA,72,"M",NA,NA,"R",NA,NA,NA,NA,36,45,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"DM",320,10,17,1977,4,17,NA,72,"F","Z",NA,NA,NA,NA,NA,NA,35,39,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"OL",321,10,17,1977,4,17,NA,74,"F",NA,NA,NA,NA,NA,NA,"L",NA,23,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Onychomys leucogaster",1
"DS",322,10,17,1977,4,4,NA,75,"F","Z",NA,NA,NA,NA,NA,NA,47,NA,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys spectabilis",1
"DO",323,10,17,1977,4,17,NA,76,"F",NA,NA,NA,"S",NA,NA,NA,33,31,"0",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys ordii",1
"DM",1312,10,7,1978,16,11,NA,13,"F","Z",NA,NA,NA,NA,NA,NA,34,45,"4882",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"OL",1313,10,7,1978,16,17,NA,13,"M","Z",NA,NA,NA,NA,NA,NA,20,30,"1559",NA,"0",NA,"0","0",NA,0,NA,NA,"Onychomys leucogaster",1
"DS",1315,10,7,1978,16,11,NA,15,"M","Z",NA,NA,NA,NA,NA,NA,50,108,"4388",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys spectabilis",1
"DM",1317,10,7,1978,16,11,NA,17,"M","Z",NA,NA,NA,NA,NA,NA,37,45,"4389",NA,"1578",NA,"0","0",NA,0,NA,NA,"Dipodomys merriami",1
"PP",1318,10,7,1978,16,11,NA,23,"F",NA,NA,NA,NA,"P",NA,NA,21,15,"7110",NA,"0",NA,"0","0",NA,0,NA,NA,"Chaetodipus penicillatus",1
"DO",1327,10,7,1978,16,11,NA,35,"M","Z",NA,NA,NA,NA,NA,NA,34,45,"1577",NA,"0",NA,"0","0",NA,0,NA,NA,"Dipodomys ordii",1
"DM",1328,10,7,1978,16,17,NA,37,"F","Z",NA,NA,NA,NA,NA,NA,35,41,"4881",NA,"1501",NA,"4881","0",NA,0,NA,NA,"Dipodomys merriami",1
