"","period","year","num_plots","num_traps"
"1",4,1977,15,735
"2",16,1978,15,735
"3",28,1979,14,686
"4",39,1980,14,686
"5",50,1981,5,245
"6",51,1981,14,686
"7",73,1983,13,637
"8",84,1984,14,686
"9",94,1985,14,686
"10",104,1986,14,686
"11",116,1987,14,686
"12",127,1988,8,392
"13",139,1989,8,392
"14",152,1990,8,392
"15",164,1991,8,392
"16",177,1992,8,392
"17",188,1993,8,392
"18",200,1994,8,392
"19",213,1995,8,392
"20",225,1996,8,392
"21",236,1997,8,392
"22",248,1998,8,392
"23",258,1999,8,392
"24",269,2000,4,196
"25",281,2001,8,392
"26",292,2002,8,392
"27",305,2003,8,392
"28",317,2004,8,392
"29",328,2005,5,245
"30",341,2006,10,490
"31",353,2007,10,490
"32",366,2008,10,490
"33",378,2009,10,490
"34",398,2011,10,490
"35",399,2011,10,490
"36",410,2012,10,490
"37",431,2014,10,490
"38",443,2015,10,488
"39",454,2016,10,490
"40",467,2017,10,490
